id,bgg_id,title,release_year,url,min_players,max_players,min_play_time,max_play_time,min_age,avg_rating,no_of_ratings,std_deviation,weight,overall_rank,own_count,categories,mechanics,created_at,updated_at
244,12493,Twilight Imperium: Third Edition,2005,https://cf.geekdo-images.com/MHeQQrbauUVsvh2QF6PMog__small/img/9dc8SjfrB38KrNsuHd_JZOXnwYk=/fit-in/200x150/filters:strip_icc()/pic4128153.jpg,3,6,180,240,14,7.78406,19506,1.71647,4.2587,144,20953,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame","Action Points, Area-Impulse, Dice Rolling, Follow, Grid Movement, Hexagon Grid, Increase Value of Unchosen Resources, Modular Board, Player Elimination, Tech Trees / Tech Tracks, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
273,14996,Ticket to Ride: Europe,2005,https://cf.geekdo-images.com/0K1AOciqlMVUWFPLTJSiww__small/img/RDvu2FvsYVVH8icp1VsilUlqUGI=/fit-in/200x150/filters:strip_icc()/pic66668.jpg,2,5,30,60,8,7.5252,83234,1.19562,1.917,173,132832,Trains,"Connections, Contracts, End Game Bonuses, Hand Management, Network and Route Building, Open Drafting, Push Your Luck, Set Collection",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
234,18602,Caylus,2005,https://cf.geekdo-images.com/yC7nOSc1x5PT-oNnh6TEcQ__small/img/ec9AK_e7FTbxy9tA8er2wW4UnqA=/fit-in/200x150/filters:strip_icc()/pic1638795.jpg,2,5,60,150,12,7.70586,29746,1.4688,3.7914,134,29499,"City Building, Economic, Medieval","Action Queue, Ownership, Turn Order: Claim Action, Turn Order: Pass Order, Variable Set-up, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
210,25613,Through the Ages: A Story of Civilization,2006,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__small/img/TDXIygWwAHKc2o90uGnnAhIa7_4=/fit-in/200x150/filters:strip_icc()/pic236169.jpg,2,4,120,120,12,7.8208,19781,1.70207,4.1775,110,18381,"Civilization, Economic","Action Points, Auction / Bidding, Auction: Dutch, Hand Management, Open Drafting",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
90,28143,Race for the Galaxy,2007,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__small/img/xLs-ldTPwaADbvzkOpF0sgWzwck=/fit-in/200x150/filters:strip_icc()/pic5261714.jpg,2,4,30,60,12,7.73869,58181,1.46536,2.9917,89,72948,"Card Game, Civilization, Economic, Science Fiction, Space Exploration","End Game Bonuses, Follow, Hand Management, Income, Market, Multi-Use Cards, Simultaneous Action Selection, Tags, Variable Phase Order",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
20,28720,Brass: Lancashire,2007,https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__small/img/AghH1bAEhqzvyRcP3cy5G-rz0So=/fit-in/200x150/filters:strip_icc()/pic3469216.jpg,2,4,60,120,14,8.1972,26753,1.36099,3.8501,20,35026,"Economic, Educational, Industry / Manufacturing, Post-Napoleonic, Transportation","Chaining, End Game Bonuses, Hand Management, Income, Loans, Market, Multi-Use Cards, Network and Route Building, Ownership, Tags, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Stat-Based, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
265,30549,Pandemic,2008,https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__small/img/oqViRj6nVxK3m36NluTxU1PZkrk=/fit-in/200x150/filters:strip_icc()/pic1534148.jpg,2,4,45,45,8,7.51905,132900,1.33801,2.3953,165,220364,"Medical, Travel","Action Points, Chaining, Contracts, Cooperative Game, Events, Hand Management, Multi-Use Cards, Point to Point Movement, Set Collection, Simulation, Tags, Trading, Variable Player Powers, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
62,31260,Agricola,2007,https://cf.geekdo-images.com/dDDo2Hexl80ucK1IlqTk-g__small/img/GHGdnCfeysoP_34gLnofJcNivW8=/fit-in/200x150/filters:strip_icc()/pic831744.jpg,1,5,30,150,12,7.86047,75855,1.54807,3.6352,62,89115,"Animals, Economic, Farming","Automatic Resource Growth, Closed Drafting, Enclosure, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Worker Placement",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
283,34635,Stone Age,2008,https://cf.geekdo-images.com/elmZegVZ6gp4_5izUgxGQQ__small/img/MXq3DEKWIozO-PmB4S64BiE5fd0=/fit-in/200x150/filters:strip_icc()/pic1632539.jpg,2,4,60,90,10,7.51435,55166,1.25019,2.457,183,61196,"Dice, Economic, Prehistoric","Contracts, Dice Rolling, End Game Bonuses, Set Collection, Turn Order: Progressive, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
79,35677,Le Havre,2008,https://cf.geekdo-images.com/y7Rqd3S6J7vyVhicR1bqTQ__small/img/w1iHoYZCVTDZI6gsPuxOScA7FqU=/fit-in/200x150/filters:strip_icc()/pic6091101.jpg,1,5,30,150,12,7.83535,33400,1.40705,3.7089,79,39312,"City Building, Economic, Industry / Manufacturing, Nautical","Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
242,36218,Dominion,2008,https://cf.geekdo-images.com/j6iQpZ4XkemZP07HNCODBA__small/img/B2u2ghwlmI_qsUtCwuvcbnBcIqU=/fit-in/200x150/filters:strip_icc()/pic394356.jpg,2,4,30,30,13,7.59724,95320,1.41439,2.3456,142,128034,"Card Game, Medieval","Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Take That, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
220,37111,Battlestar Galactica: The Board Game,2008,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__small/img/s1BljxEdoxQ1zGYiw05Qa9rg9hI=/fit-in/200x150/filters:strip_icc()/pic354500.jpg,3,6,120,180,14,7.72918,37402,1.59829,3.2504,120,40310,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies / Secret Agents","Area Movement, Dice Rolling, Hand Management, Hidden Roles, Once-Per-Game Abilities, Role Playing, Semi-Cooperative Game, Team-Based Game, Traitor Game, Variable Player Powers, Variable Set-up, Voting",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
232,40834,Dominion: Intrigue,2009,https://cf.geekdo-images.com/OGOmpi0GgwOwH2y28QgkuA__small/img/jnSHqOXWLN3PfdpCtnfjf44oTsA=/fit-in/200x150/filters:strip_icc()/pic460011.jpg,2,6,30,30,13,7.68636,34480,1.34897,2.4111,132,50833,"Card Game, Medieval","Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
246,43015,Hansa Teutonica,2009,https://cf.geekdo-images.com/3IkzYcplGfFtVrd3syClHg__small/img/4350nWgj6kTrn8BWFI6cxvts_E0=/fit-in/200x150/filters:strip_icc()/pic839090.jpg,2,5,45,90,12,7.74464,16903,1.37658,3.0915,146,14101,Medieval,"Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Take That, Tech Trees / Tech Tracks",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
299,54043,Jaipur,2009,https://cf.geekdo-images.com/_LTujSe_o16nvjDC-J0seA__small/img/82vhODfpxIT03BzW4NkisJ5Unzs=/fit-in/200x150/filters:strip_icc()/pic5100947.jpg,2,2,30,30,10,7.48146,56565,1.11127,1.4647,199,92337,"Arabian, Card Game, Economic","End Game Bonuses, Hand Management, Hidden Victory Points, Market, Open Drafting, Race, Score-and-Reset Game, Set Collection, Sudden Death Ending, Turn Order: Progressive, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
88,55690,Kingdom Death: Monster,2015,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__small/img/Z3yFJIp9rmSmcGoTiqGeTkKCnQU=/fit-in/200x150/filters:strip_icc()/pic2931007.jpg,1,4,60,180,17,8.47966,10245,2.00573,4.2726,88,13623,"Adventure, Dice, Fantasy, Fighting, Horror, Mature / Adult, Miniatures, Mythology","Cooperative Game, Critical Hits and Failures, Dice Rolling, Events, Grid Movement, Narrative Choice / Paragraph, Paper-and-Pencil, Pattern Building, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Square Grid, Storytelling, Tech Trees / Tech Tracks",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
208,62219,Dominant Species,2010,https://cf.geekdo-images.com/oeygRZntjNUJWvc8SxDfww__small/img/PUmSkY6ZKL81b6YuP1U59R3VdRE=/fit-in/200x150/filters:strip_icc()/pic784193.jpg,2,6,120,240,14,7.80423,22160,1.51465,4.0408,108,24389,"Animals, Environmental, Prehistoric","Action Drafting, Action Queue, Area Majority / Influence, End Game Bonuses, Grid Movement, Hexagon Grid, Map Addition, Take That, Tile Placement, Turn Order: Claim Action, Variable Player Powers, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
211,68448,7 Wonders,2010,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__small/img/BUOso8b0M1aUOkU80FWlhE8uuxc=/fit-in/200x150/filters:strip_icc()/pic7149798.jpg,2,7,30,30,10,7.66586,110751,1.27694,2.3148,111,152400,"Ancient, Card Game, City Building, Civilization, Economic","Closed Drafting, End Game Bonuses, Hand Management, Melding and Splaying, Multi-Use Cards, Neighbor Scope, Once-Per-Game Abilities, Score-and-Reset Game, Set Collection, Simultaneous Action Selection, Tags, Tech Trees / Tech Tracks, Variable Player Powers, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
98,72125,Eclipse: New Dawn for the Galaxy,2011,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__small/img/X8XQO2_mRl7HRSzzOEgoKrWulj4=/fit-in/200x150/filters:strip_icc()/pic1974056.jpg,2,6,60,180,14,7.81989,28917,1.51215,3.706,98,28253,"Civilization, Fighting, Science Fiction, Space Exploration, Territory Building, Wargame","Dice Rolling, Grid Movement, Hexagon Grid, Hot Potato, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
236,73439,Troyes,2010,https://cf.geekdo-images.com/fBIe-aEPtJKC-ceNlspK6A__small/img/Npv5mrWBkjnlKjl_8hGLNk9CCwc=/fit-in/200x150/filters:strip_icc()/pic750583.jpg,1,4,90,90,12,7.70666,24723,1.32343,3.3761,136,28536,"Dice, Economic, Medieval","Area Majority / Influence, Dice Rolling, End Game Bonuses, Events, Hidden Victory Points, Income, Ownership, Set Collection, Slide / Push, Solo / Solitaire Game, Turn Order: Progressive, Variable Set-up, Worker Placement with Dice Workers, Worker Placement, Different Worker Types",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
282,77423,The Lord of the Rings: The Card Game,2011,https://cf.geekdo-images.com/ZmXi5BbtoWl58ZnKcUy1vw__small/img/__NGanznvqHKTFhj28S8ZpfLbpc=/fit-in/200x150/filters:strip_icc()/pic906495.jpg,1,2,30,60,13,7.66152,24915,1.55852,3.2195,182,38585,"Adventure, Card Game, Collectible Components, Fantasy, Novel-based","Cooperative Game, Deck Construction, Events, Hand Management, Player Elimination, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Set-up",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
290,82222,Xia: Legends of a Drift System,2014,https://cf.geekdo-images.com/6uEBiPxMH8gfGJ6f3HLNGg__small/img/F_7LgdP3BKQVdrYHfIAoMu12G8c=/fit-in/200x150/filters:strip_icc()/pic1807124.png,3,5,60,180,12,7.85956,10905,1.55559,3.1985,191,16790,"Adventure, Exploration, Fighting, Science Fiction, Space Exploration, Transportation","Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver, Race, Roll / Spin and Move, Tile Placement, Variable Player Powers",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
15,84876,The Castles of Burgundy,2011,https://cf.geekdo-images.com/sH2YTQ10dHj1ibfS-KKtGA__small/img/f5zFXdTcH9RNY0iMNBppd8D-_r0=/fit-in/200x150/filters:strip_icc()/pic8745814.jpg,2,4,30,90,12,8.15469,67705,1.25142,2.9738,15,82321,"Animals, Dice, Medieval, Territory Building","Delayed Purchase, Dice Rolling, End Game Bonuses, Grid Coverage, Hexagon Grid, Open Drafting, Pattern Building, Tile Placement, Track Movement, Turn Order: Stat-Based, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
40,96848,Mage Knight Board Game,2011,https://cf.geekdo-images.com/DUO2hz9AlLOH8p9ED-lCWg__small/img/0bWDfnjzYebauQZrHmjyHkuUttI=/fit-in/200x150/filters:strip_icc()/pic1083380.jpg,1,4,60,240,14,8.08014,34729,1.63692,4.373,40,47485,"Adventure, Exploration, Fantasy, Fighting","Card Play Conflict Resolution, Cooperative Game, Deck, Bag, and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Multi-Use Cards, Open Drafting, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Tags, Turn Order: Claim Action, Variable Player Powers",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
243,102680,Trajan,2011,https://cf.geekdo-images.com/djdeCr__iNV5rMnGnxNiaQ__small/img/jULoayRVuV3c8cRqKOPsf7oMO5w=/fit-in/200x150/filters:strip_icc()/pic4336095.png,2,4,60,120,12,7.74594,18647,1.33893,3.6267,143,21985,Ancient,"Area Movement, Hand Management, Mancala, Open Drafting, Set Collection",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
58,102794,Caverna: The Cave Farmers,2013,https://cf.geekdo-images.com/EAqbd46lFxo-7GumlO8U4w__small/img/g-qxFyjgqn7kwH3erf3jhmgYaIU=/fit-in/200x150/filters:strip_icc()/pic5598833.jpg,1,7,30,210,12,7.92755,36755,1.34039,3.7755,58,47653,"Animals, Economic, Fantasy, Farming","Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
298,103885,Star Wars: X-Wing Miniatures Game,2012,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__small/img/idalbLcUm2q9yxVZzRDkLEax5AE=/fit-in/200x150/filters:strip_icc()/pic1603292.jpg,2,2,30,45,14,7.62581,25404,1.44138,2.4953,198,41385,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Action Queue, Critical Hits and Failures, Dice Rolling, Line of Sight, Movement Template, Player Elimination, Simulation, Simultaneous Action Selection, Variable Player Powers",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
202,110327,Lords of Waterdeep,2012,https://cf.geekdo-images.com/DFZlakC9Lv8cB5Co5z3meA__small/img/zioDxFvYNCzSbh09ibB6arS017w=/fit-in/200x150/filters:strip_icc()/pic9230112.jpg,2,5,60,120,12,7.73017,58448,1.27624,2.449,102,73498,"City Building, Fantasy","Contracts, Hidden Roles, Increase Value of Unchosen Resources, Ownership, Set Collection, Take That, Turn Order: Claim Action, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
7,115746,War of the Ring: Second Edition,2011,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__small/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg,2,4,150,240,13,8.54951,24250,1.4844,4.224,7,40050,"Fantasy, Fighting, Novel-based, Territory Building, Wargame","Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Card Play Conflict Resolution, Dice Rolling, Events, Hand Management, Movement Points, Team-Based Game, Variable Player Powers, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
269,118048,Targi,2012,https://cf.geekdo-images.com/wHg4fOf48cs1kw1PDOk1tQ__small/img/6l-jqYlfECK1SVSsUs7FXUheKzQ=/fit-in/200x150/filters:strip_icc()/pic3958793.jpg,2,2,60,60,12,7.59347,26003,1.11417,2.3439,169,42744,"Arabian, Card Game","End Game Bonuses, Modular Board, Open Drafting, Set Collection, Square Grid, Turn Order: Progressive, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
35,120677,Terra Mystica,2012,https://cf.geekdo-images.com/bre12I1YiXkZr7elvriz4A__small/img/GW-ip0dfeAee7KQqJ04SRZxF1lg=/fit-in/200x150/filters:strip_icc()/pic5375624.jpg,2,5,60,150,12,8.03703,50338,1.47329,3.9729,35,54375,"Civilization, Economic, Fantasy, Territory Building","Chaining, End Game Bonuses, Hexagon Grid, Income, Increase Value of Unchosen Resources, Network and Route Building, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
212,121921,Robinson Crusoe: Adventures on the Cursed Island,2012,https://cf.geekdo-images.com/zvHPgrNb9mgkHQk-BwVemA__small/img/QNF6GAuZ6TTeSYtrWZlWvPaIWjs=/fit-in/200x150/filters:strip_icc()/pic6026697.jpg,1,4,60,120,14,7.72899,46074,1.46297,3.8252,112,74603,"Adventure, Exploration, Fighting, Novel-based, Territory Building","Action Queue, Area Movement, Cooperative Game, Dice Rolling, Die Icon Resolution, Events, Hexagon Grid, Map Addition, Movement Points, Narrative Choice / Paragraph, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Tile Placement, Turn Order: Progressive, Variable Player Powers, Worker Placement",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
229,122515,Keyflower,2012,https://cf.geekdo-images.com/HbfgxDJZQnNEZQKvpmJxQg__small/img/5t1MtJEDdhSgtyJlmu3Hu1qR_ZQ=/fit-in/200x150/filters:strip_icc()/pic2278942.jpg,2,6,90,120,12,7.71374,24243,1.32188,3.3346,129,27809,"City Building, Economic, Renaissance, Territory Building, Transportation","Auction / Bidding, Auction: Fixed Placement, Auction: Multiple Lot, Constrained Bidding, End Game Bonuses, Network and Route Building, Ownership, Selection Order Bid, Set Collection, Tile Placement, Turn Order: Auction, Variable Set-up, Worker Placement, Worker Placement, Different Worker Types",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
28,124361,Concordia,2013,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__small/img/ESPSltYYSFK-aJw6jOTdQrJGpOc=/fit-in/200x150/filters:strip_icc()/pic3453267.jpg,2,5,100,100,13,8.08194,44117,1.20811,2.9867,27,50259,"Ancient, Economic, Nautical","Action Retrieval, Advantage Token, Auction: Dutch, Deck, Bag, and Pool Building, End Game Bonuses, Hand Management, Hidden Victory Points, Investment, Movement Points, Network and Route Building, Open Drafting, Point to Point Movement, Set Collection, Variable Set-up",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
82,124742,Android: Netrunner,2012,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__small/img/IJaOyyQ7Y59tW6nbKbjTMTFt-Ls=/fit-in/200x150/filters:strip_icc()/pic3738560.jpg,2,2,45,45,14,7.89129,31087,1.65849,3.4146,82,47001,"Bluffing, Card Game, Collectible Components, Science Fiction","Action Points, Deck Construction, Hand Management, Race, Secret Unit Deployment, Take That, Variable Player Powers",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
80,125153,The Gallerist,2015,https://cf.geekdo-images.com/ie1GSt1XV04sXQXt-3O1UQ__small/img/O0H84AvXp139U865gRLGiAo9-gA=/fit-in/200x150/filters:strip_icc()/pic2503200.png,1,4,60,150,13,8.00662,16091,1.34412,4.2158,80,21715,Economic,"Commodity Speculation, Contracts, Investment, Open Drafting, Point to Point Movement, Resource to Move, Set Collection, Solo / Solitaire Game, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
72,126163,Tzolk'in: The Mayan Calendar,2012,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__small/img/or9mAn4ClljY_wO_zvsLJDqs9tU=/fit-in/200x150/filters:strip_icc()/pic4604439.jpg,2,4,90,90,13,7.84838,41787,1.26872,3.663,72,49477,"Ancient, Civilization, Economic, Farming, Mythology","Bias, End Game Bonuses, Once-Per-Game Abilities, Track Movement, Turn Order: Claim Action, Worker Placement",2025-12-04 13:09:27.958932,2025-12-04 13:17:23.389645
289,127023,Kemet,2012,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__small/img/930_NppLsnIGUDG_W6wkdOGgKR8=/fit-in/200x150/filters:strip_icc()/pic3979527.jpg,2,5,90,120,13,7.63184,19906,1.34241,3.0027,189,21093,"Ancient, Fantasy, Mythology, Wargame","Action Points, Area Majority / Influence, Area Movement, Card Play Conflict Resolution, Hand Management, Open Drafting, Tech Trees / Tech Tracks",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
266,132531,Roll for the Galaxy,2014,https://cf.geekdo-images.com/nhoyoLpYPC2b3UiJ5kJ0yg__small/img/KVmexHT6N_fquB1CQl9QRNYCvD0=/fit-in/200x150/filters:strip_icc()/pic1473629.jpg,2,5,45,45,13,7.56916,33226,1.33723,2.7813,166,40454,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Action Retrieval, Contracts, Deck, Bag, and Pool Building, Dice Rolling, Die Icon Resolution, Follow, Hand Management, Race, Simultaneous Action Selection, Tags, Tile Placement, Variable Phase Order, Variable Player Powers, Variable Set-up, Worker Placement with Dice Workers",2025-12-04 13:17:23.389645,2025-12-04 13:17:23.389645
